Interval,pkt_count,len_mean,len_std,len_max,DHCP,DNS,HTTP,ICMP,IGMPv2,MDNS,NTP,OCSP,QUIC,SSLv2,TCP,"TCP, HiPerConTracer",TLSv1.2,TLSv1.3,UDP,tcp_ratio,udp_ratio
90,735,544.2721088435375,570.1266716868344,1514,0,2,0,0,0,0,0,0,385,0,185,0,117,46,0,0.25170068027210885,0.0
91,35,272.4,487.6370516251273,1514,0,0,0,0,0,0,0,0,0,0,27,0,0,8,0,0.7714285714285715,0.0
92,24,184.66666666666666,356.32821541585685,1494,0,0,0,0,0,0,0,0,0,0,16,0,2,6,0,0.6666666666666666,0.0
93,141,397.92198581560285,527.5294991199476,1490,0,4,0,0,0,0,0,0,26,0,62,0,33,16,0,0.4397163120567376,0.0
94,681,695.8869309838473,673.4298713365496,1514,0,22,0,0,0,0,0,0,43,0,361,0,120,135,0,0.5301027900146843,0.0
95,542,430.08671586715866,560.69351189212,1514,0,12,0,0,0,0,0,0,0,0,287,0,176,67,0,0.5295202952029521,0.0
96,127,784.3228346456693,681.6175774837075,1514,0,4,0,0,0,0,0,0,0,0,90,0,2,31,0,0.7086614173228346,0.0
97,392,701.3316326530612,685.3476144659037,1514,0,4,0,0,0,0,0,0,0,0,272,0,46,70,0,0.6938775510204082,0.0
98,133,491.0601503759398,587.4457519686713,1454,0,0,0,0,0,0,0,0,2,0,81,0,0,50,0,0.6090225563909775,0.0
99,96,346.21875,516.6632661532125,1466,0,0,0,0,0,0,0,0,0,0,56,0,32,8,0,0.5833333333333334,0.0
100,10,67.6,14.00952057233461,94,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0.8,0.0
101,91,600.010989010989,647.225351352568,1514,0,8,0,1,0,0,0,0,1,0,61,0,8,12,0,0.6703296703296703,0.0
102,26,319.34615384615387,460.3848774499607,1292,0,0,0,0,0,0,0,0,15,0,5,0,4,2,0,0.19230769230769232,0.0
103,29,74.65517241379311,22.7600462309174,131,0,0,0,0,0,0,0,0,0,0,20,0,5,4,0,0.6896551724137931,0.0
104,6,60.0,6.572670690061994,66,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1.0,0.0
105,83,295.72289156626505,474.7506229398554,1466,0,0,0,0,0,0,0,0,0,0,44,0,33,6,0,0.5301204819277109,0.0
106,254,563.4724409448819,640.7975863471447,1490,0,26,0,0,0,8,0,0,18,0,95,0,31,76,0,0.37401574803149606,0.0
107,81,538.8888888888889,637.3992665511938,1514,0,2,0,0,0,1,0,0,0,0,55,0,14,9,0,0.6790123456790124,0.0
108,219,799.0958904109589,703.4897708818,1514,0,6,0,0,0,0,0,0,17,0,173,0,0,23,0,0.7899543378995434,0.0
109,50,253.16,429.6150322304462,1514,0,2,0,0,0,5,0,0,0,0,25,0,2,16,0,0.5,0.0
110,16,108.3125,77.43273963038287,299,0,0,0,0,0,2,0,0,2,0,9,0,2,1,0,0.5625,0.0
111,104,259.84615384615387,431.3743394799493,1466,0,4,0,0,0,8,0,0,0,0,58,0,30,4,0,0.5576923076923077,0.0
112,16,87.3125,60.891946648688,310,0,0,0,0,0,1,0,0,1,0,11,0,2,1,0,0.6875,0.0
113,4,79.0,15.0996688705415,94,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0.5,0.0
114,36,709.3611111111111,679.3382979163423,1514,0,0,0,0,0,5,0,0,0,0,23,0,6,2,0,0.6388888888888888,0.0
115,60,442.21666666666664,615.8451844765353,1514,0,0,0,0,0,2,0,0,0,0,44,0,10,4,0,0.7333333333333333,0.0
116,2133,547.0571964369433,559.2210296064069,1514,0,130,0,5,0,0,0,0,1433,0,267,0,178,120,0,0.12517580872011252,0.0
117,2068,883.8133462282399,681.4576184215084,1514,0,68,0,0,0,0,0,0,44,0,1395,0,91,470,0,0.6745647969052224,0.0
118,198,469.3030303030303,585.8789302445314,1514,0,4,0,0,0,0,0,0,0,0,106,0,63,25,0,0.5353535353535354,0.0
119,65,519.6923076923077,584.3534868520542,1514,0,4,0,0,0,0,0,0,0,0,35,0,0,26,0,0.5384615384615384,0.0
120,148,442.6689189189189,560.5027309552981,1490,0,6,0,0,0,0,0,0,21,0,79,0,2,40,0,0.5337837837837838,0.0
121,236,327.77542372881356,484.48000243058397,1514,0,0,0,0,0,0,0,0,0,0,149,0,6,81,0,0.6313559322033898,0.0
122,49,506.48979591836735,619.043082858838,1514,0,0,0,0,0,0,0,0,0,0,36,0,2,11,0,0.7346938775510204,0.0
123,166,355.06024096385545,523.5997974256522,1514,0,0,0,0,0,0,0,0,0,0,99,0,34,33,0,0.5963855421686747,0.0
124,49,254.40816326530611,394.71191595724525,1369,0,4,0,0,0,0,0,0,0,0,33,0,2,10,0,0.673469387755102,0.0
125,6,60.0,6.572670690061994,66,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1.0,0.0
126,218,520.8715596330276,619.5135463557627,1514,0,10,0,0,0,0,0,0,20,0,133,0,4,51,0,0.6100917431192661,0.0
127,355,494.2112676056338,523.8530952561086,1466,0,8,0,2,0,0,0,0,273,0,43,0,5,24,0,0.12112676056338029,0.0
128,4,64.5,7.54983443527075,72,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0.75,0.0
129,127,370.1417322834646,529.2603362826792,1466,0,0,0,0,0,0,0,0,0,0,67,0,60,0,0,0.5275590551181102,0.0
130,85,256.3764705882353,468.3129035487406,1514,0,2,0,0,0,0,0,0,0,0,61,0,2,20,0,0.7176470588235294,0.0
131,82,426.6219512195122,545.1515734460587,1490,0,8,0,0,0,3,0,0,0,0,37,0,0,34,0,0.45121951219512196,0.0
132,61,463.1639344262295,551.9984655874769,1490,0,0,0,0,0,1,0,0,20,0,20,0,4,16,0,0.32786885245901637,0.0
133,427,920.1217798594848,686.8072551976497,1510,0,10,0,0,0,0,0,0,0,0,122,0,44,251,0,0.2857142857142857,0.0
134,350,499.0514285714286,595.7176045713557,1490,0,16,0,0,0,0,0,0,0,0,154,0,76,104,0,0.44,0.0
135,134,282.97014925373134,451.5632819422698,1466,0,0,0,0,0,0,0,0,0,0,79,0,31,24,0,0.5895522388059702,0.0
136,256,445.33984375,565.1944431459963,1514,0,0,0,0,0,0,0,0,0,0,129,0,70,57,0,0.50390625,0.0
137,6,81.33333333333333,29.93103183431314,131,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0.6666666666666666,0.0
138,92,382.6195652173913,506.65470050820767,1490,0,12,0,0,0,0,0,0,20,0,29,0,2,29,0,0.31521739130434784,0.0
139,160,474.2125,582.2011192354354,1490,0,0,0,0,0,0,0,0,0,0,88,0,0,72,0,0.55,0.0
140,287,699.01393728223,655.3543000136123,1490,0,0,0,0,0,0,0,0,2,0,120,0,7,158,0,0.4181184668989547,0.0
141,322,359.7142857142857,508.25797321264264,1514,0,22,0,0,0,2,0,0,0,0,159,0,42,97,0,0.4937888198757764,0.0
142,458,694.6484716157205,651.3700263048164,1514,0,2,0,4,0,7,0,0,27,0,165,0,30,223,0,0.36026200873362446,0.0
143,44,444.65909090909093,598.3394441122445,1514,0,0,0,0,0,0,0,0,0,0,29,0,6,9,0,0.6590909090909091,0.0
144,39,357.0769230769231,504.6149331611489,1292,0,0,0,0,0,0,0,0,22,0,15,0,0,2,0,0.38461538461538464,0.0
145,85,320.83529411764704,513.8477828867136,1514,0,2,0,0,0,7,0,0,0,0,48,0,0,28,0,0.5647058823529412,0.0
146,18,76.05555555555556,17.903243946024133,105,0,0,0,0,0,0,0,0,2,0,10,0,4,2,0,0.5555555555555556,0.0
147,629,761.60413354531,661.0353253196582,1490,0,20,0,0,0,0,0,0,0,0,279,0,32,298,0,0.4435612082670906,0.0
148,737,707.5793758480326,652.0515863062528,1490,0,0,0,0,0,0,0,0,1,0,272,0,61,403,0,0.36906377204884666,0.0
149,517,727.8568665377176,660.446879202485,1514,0,8,0,0,0,0,0,0,0,0,236,0,0,273,0,0.4564796905222437,0.0
150,444,687.0112612612612,644.411063206596,1490,0,2,0,0,0,0,0,0,17,0,141,0,2,282,0,0.31756756756756754,0.0
151,86,679.4883720930233,663.5853195586755,1490,2,0,0,0,0,0,0,0,0,0,30,0,3,51,0,0.3488372093023256,0.0
152,262,693.5114503816794,660.076755857359,1494,0,0,0,0,0,0,0,0,0,0,102,0,5,155,0,0.3893129770992366,0.0
153,374,606.8716577540107,634.6877720064485,1490,0,24,0,0,0,0,0,0,0,0,142,0,32,176,0,0.37967914438502676,0.0
154,173,736.8728323699422,662.5580501215608,1490,0,0,0,0,0,0,0,0,0,0,76,0,0,97,0,0.4393063583815029,0.0
155,36,482.19444444444446,574.3345376269053,1490,0,0,0,0,0,0,0,0,0,0,18,0,0,18,0,0.5,0.0
156,242,612.7520661157025,639.0226105388961,1514,0,4,0,0,0,0,0,0,17,0,134,0,4,83,0,0.5537190082644629,0.0
157,30,122.23333333333333,182.67734573197126,1034,0,0,0,0,0,0,0,0,0,0,20,0,5,5,0,0.6666666666666666,0.0
158,7,125.0,125.07730942634373,407,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0.7142857142857143,0.0
159,200,717.43,676.4693110139727,1490,0,0,0,0,0,0,0,0,0,0,71,0,57,72,0,0.355,0.0
160,153,398.3071895424837,510.85282514744716,1514,0,8,0,8,0,0,0,0,8,0,73,0,4,52,0,0.477124183006536,0.0
161,148,254.34459459459458,421.8807213322355,1514,0,8,0,0,0,4,0,0,0,0,115,0,0,21,0,0.777027027027027,0.0
162,955,713.7748691099476,653.4613199282794,1490,0,16,0,0,1,0,0,0,20,0,333,0,61,524,0,0.3486910994764398,0.0
163,259,596.5173745173745,665.6594173962192,1514,0,8,0,0,0,0,0,0,0,0,151,0,49,51,0,0.583011583011583,0.0
164,1829,936.5872061235648,490.68055346364287,1514,0,32,0,0,0,0,0,0,1671,0,80,0,0,46,0,0.04373974849644614,0.0
165,408,754.6740196078431,606.6877521516567,1514,0,4,0,0,0,0,0,0,231,0,135,0,28,10,0,0.33088235294117646,0.0
166,450,565.0688888888889,630.3473515947059,1514,0,20,0,0,0,0,0,0,22,0,251,0,96,61,0,0.5577777777777778,0.0
167,1029,655.6870748299319,643.8047541884551,1514,0,30,0,0,0,0,0,0,0,0,553,0,24,422,0,0.5374149659863946,0.0
168,2221,843.6902296262945,684.4490507687118,1514,0,30,0,1,0,0,0,0,17,1,1552,0,0,620,0,0.6987843313822603,0.0
169,167,393.2874251497006,512.8981216130293,1494,0,2,0,0,0,0,0,0,0,0,94,0,0,71,0,0.562874251497006,0.0
170,141,456.48936170212767,562.8312309466091,1514,0,6,0,0,0,0,0,0,0,0,85,0,2,48,0,0.6028368794326241,0.0
