Time,Source,Destination,Protocol,Length
11.600314,13.248.151.210,172.30.1.7,TCP,1514
11.600316,13.248.151.210,172.30.1.7,TCP,1514
11.600444,172.30.1.7,13.248.151.210,TCP,66
11.600447,172.30.1.7,13.248.151.210,TCP,66
11.684928,13.248.151.210,172.30.1.7,TCP,1514
11.684929,13.248.151.210,172.30.1.7,TCP,1514
11.685046,172.30.1.7,13.248.151.210,TCP,66
11.693781,13.248.151.210,172.30.1.7,TCP,1514
11.693783,13.248.151.210,172.30.1.7,TCP,1514
11.693784,13.248.151.210,172.30.1.7,TCP,1514
11.693785,13.248.151.210,172.30.1.7,TLSv1.2,1514
11.693787,13.248.151.210,172.30.1.7,TCP,1514
11.693788,13.248.151.210,172.30.1.7,TCP,1514
11.693789,13.248.151.210,172.30.1.7,TCP,1514
11.69379,13.248.151.210,172.30.1.7,TCP,1514
11.693791,13.248.151.210,172.30.1.7,TCP,1514
11.693793,13.248.151.210,172.30.1.7,TCP,1514
11.693794,13.248.151.210,172.30.1.7,TCP,1514
11.693795,13.248.151.210,172.30.1.7,TCP,1514
11.693796,13.248.151.210,172.30.1.7,TLSv1.2,1514
11.693797,13.248.151.210,172.30.1.7,TCP,1514
11.693798,13.248.151.210,172.30.1.7,TLSv1.2,1514
11.693799,13.248.151.210,172.30.1.7,TCP,1514
11.6938,13.248.151.210,172.30.1.7,TCP,1514
11.693801,13.248.151.210,172.30.1.7,TCP,1514
11.694026,172.30.1.7,13.248.151.210,TCP,66
11.694028,172.30.1.7,13.248.151.210,TCP,66
11.785602,13.248.151.210,172.30.1.7,TCP,1514
11.785604,13.248.151.210,172.30.1.7,TCP,1514
11.785606,13.248.151.210,172.30.1.7,TCP,1514
11.785608,13.248.151.210,172.30.1.7,TCP,1514
11.785756,172.30.1.7,13.248.151.210,TCP,66
11.785758,172.30.1.7,13.248.151.210,TCP,66
11.799481,13.248.151.210,172.30.1.7,TCP,1514
11.799483,13.248.151.210,172.30.1.7,TCP,1514
11.799485,13.248.151.210,172.30.1.7,TCP,1514
11.799486,13.248.151.210,172.30.1.7,TCP,1514
11.799488,13.248.151.210,172.30.1.7,TLSv1.2,1514
11.79949,13.248.151.210,172.30.1.7,TCP,1514
11.799491,13.248.151.210,172.30.1.7,TCP,1514
11.799493,13.248.151.210,172.30.1.7,TCP,1514
11.799494,13.248.151.210,172.30.1.7,TCP,1514
11.799496,13.248.151.210,172.30.1.7,TCP,1514
11.799498,13.248.151.210,172.30.1.7,TCP,1514
11.799499,13.248.151.210,172.30.1.7,TCP,1514
11.799501,13.248.151.210,172.30.1.7,TCP,1514
11.799502,13.248.151.210,172.30.1.7,TCP,1514
11.799504,13.248.151.210,172.30.1.7,TCP,1514
11.799505,13.248.151.210,172.30.1.7,TLSv1.2,1514
11.799507,13.248.151.210,172.30.1.7,TCP,1514
11.799508,13.248.151.210,172.30.1.7,TCP,1514
11.799509,13.248.151.210,172.30.1.7,TCP,1514
11.799511,13.248.151.210,172.30.1.7,TCP,1514
11.799512,13.248.151.210,172.30.1.7,TCP,1514
11.799513,13.248.151.210,172.30.1.7,TCP,1514
11.799515,13.248.151.210,172.30.1.7,TCP,1514
11.799516,13.248.151.210,172.30.1.7,TCP,1514
11.799518,13.248.151.210,172.30.1.7,TCP,1514
11.799519,13.248.151.210,172.30.1.7,TCP,1514
11.79952,13.248.151.210,172.30.1.7,TCP,1514
11.799522,13.248.151.210,172.30.1.7,TLSv1.2,1514
11.799523,13.248.151.210,172.30.1.7,TCP,1514
11.799524,13.248.151.210,172.30.1.7,TCP,1514
11.799526,13.248.151.210,172.30.1.7,TCP,1514
11.799527,13.248.151.210,172.30.1.7,TCP,1514
11.799759,172.30.1.7,13.248.151.210,TCP,66
11.79976,172.30.1.7,13.248.151.210,TCP,66
11.800659,13.248.151.210,172.30.1.7,TCP,1514
11.80066,13.248.151.210,172.30.1.7,TCP,1514
11.800662,13.248.151.210,172.30.1.7,TCP,1514
11.800663,13.248.151.210,172.30.1.7,TCP,1514
11.800749,172.30.1.7,13.248.151.210,TCP,66
11.80075,172.30.1.7,13.248.151.210,TCP,66
11.915118,13.248.151.210,172.30.1.7,TLSv1.2,328
11.915478,172.30.1.7,13.248.151.210,TCP,66
12.107305,13.248.151.210,172.30.1.7,TLSv1.2,106
12.107608,172.30.1.7,13.248.151.210,TCP,66
13.32149,172.30.1.7,168.126.63.1,DNS,74
13.325396,168.126.63.1,172.30.1.7,DNS,122
13.326346,172.30.1.7,44.246.57.203,TCP,78
13.377625,172.30.1.7,34.128.9.170,TCP,1466
13.377641,172.30.1.7,34.128.9.170,TLSv1.2,351
13.386401,34.128.9.170,172.30.1.7,TCP,66
13.487565,44.246.57.203,172.30.1.7,TCP,74
13.488132,172.30.1.7,44.246.57.203,TCP,66
13.488149,172.30.1.7,44.246.57.203,TCP,1514
13.488152,172.30.1.7,44.246.57.203,TLSv1.3,159
13.561842,34.128.9.170,172.30.1.7,TLSv1.2,146
13.561844,34.128.9.170,172.30.1.7,TLSv1.2,237
13.561962,172.30.1.7,34.128.9.170,TCP,66
13.562321,172.30.1.7,34.128.9.170,TLSv1.2,131
13.56378,34.128.9.170,172.30.1.7,TLSv1.2,117
13.563854,172.30.1.7,34.128.9.170,TCP,66
13.564023,172.30.1.7,34.128.9.170,TLSv1.2,105
13.565377,172.30.1.7,34.128.9.170,TCP,1466
13.565397,172.30.1.7,34.128.9.170,TLSv1.2,349
13.571744,34.128.9.170,172.30.1.7,TCP,66
13.571746,34.128.9.170,172.30.1.7,TLSv1.2,105
13.571747,34.128.9.170,172.30.1.7,TCP,66
13.571819,172.30.1.7,34.128.9.170,TCP,66
13.633964,44.246.57.203,172.30.1.7,TCP,66
13.633966,44.246.57.203,172.30.1.7,TLSv1.3,1514
13.633968,44.246.57.203,172.30.1.7,TCP,1514
13.633971,44.246.57.203,172.30.1.7,TLSv1.3,1514
13.633973,44.246.57.203,172.30.1.7,TLSv1.3,104
13.635024,172.30.1.7,44.246.57.203,TCP,66
13.635028,172.30.1.7,44.246.57.203,TCP,66
13.639889,172.30.1.7,44.246.57.203,TLSv1.3,130
13.641366,172.30.1.7,44.246.57.203,TLSv1.3,309
13.641803,172.30.1.7,44.246.57.203,TCP,1514
13.641807,172.30.1.7,44.246.57.203,TCP,1514
13.641824,172.30.1.7,44.246.57.203,TLSv1.3,432
13.641947,172.30.1.7,44.246.57.203,TLSv1.3,97
13.755611,34.128.9.170,172.30.1.7,TLSv1.2,145
13.755614,34.128.9.170,172.30.1.7,TLSv1.2,1466
13.755615,34.128.9.170,172.30.1.7,TLSv1.2,320
13.755728,172.30.1.7,34.128.9.170,TCP,66
13.758389,172.30.1.7,34.128.9.170,TCP,1466
13.758433,172.30.1.7,34.128.9.170,TLSv1.2,362
13.759489,34.128.9.170,172.30.1.7,TLSv1.2,117
13.75956,172.30.1.7,34.128.9.170,TCP,66
13.759637,172.30.1.7,34.128.9.170,TLSv1.2,105
13.769803,34.128.9.170,172.30.1.7,TCP,66
13.771749,34.128.9.170,172.30.1.7,TCP,66
13.778947,44.246.57.203,172.30.1.7,TCP,66
13.778949,44.246.57.203,172.30.1.7,TLSv1.3,245
13.778952,44.246.57.203,172.30.1.7,TLSv1.3,128
13.778954,44.246.57.203,172.30.1.7,TLSv1.3,97
13.779319,172.30.1.7,44.246.57.203,TCP,66
13.779412,172.30.1.7,44.246.57.203,TLSv1.3,97
13.787611,44.246.57.203,172.30.1.7,TCP,66
13.787613,44.246.57.203,172.30.1.7,TCP,66
13.787614,44.246.57.203,172.30.1.7,TLSv1.3,213
13.787616,44.246.57.203,172.30.1.7,TLSv1.3,97
13.787756,172.30.1.7,44.246.57.203,TCP,66
14.013287,34.128.9.170,172.30.1.7,TLSv1.2,145
14.013289,34.128.9.170,172.30.1.7,TLSv1.2,1466
14.013291,34.128.9.170,172.30.1.7,TLSv1.2,321
14.013292,34.128.9.170,172.30.1.7,TLSv1.2,117
14.013294,44.246.57.203,172.30.1.7,TCP,66
14.013295,34.128.9.170,172.30.1.7,TCP,117
14.013416,172.30.1.7,34.128.9.170,TCP,66
14.013466,172.30.1.7,34.128.9.170,TCP,78
14.013616,172.30.1.7,34.128.9.170,TLSv1.2,118
14.019534,172.30.1.7,34.128.9.170,TCP,1466
14.019535,172.30.1.7,34.128.9.170,TCP,1466
14.019535,172.30.1.7,34.128.9.170,TCP,1466
14.019547,172.30.1.7,34.128.9.170,TLSv1.2,1064
14.02082,34.128.9.170,172.30.1.7,TCP,66
14.034624,34.128.9.170,172.30.1.7,TCP,66
14.034625,34.128.9.170,172.30.1.7,TCP,66
14.034627,34.128.9.170,172.30.1.7,TCP,66
14.034628,34.128.9.170,172.30.1.7,TCP,66
14.341345,34.128.9.170,172.30.1.7,TLSv1.2,146
14.341347,34.128.9.170,172.30.1.7,TLSv1.2,190
